neighbourhood_cleansed,total_listings,never_booked,active,dormant,inactive,pct_never_booked,pct_active,avg_host_tenure_years,avg_reviews_per_month_active
Havering,524,187,189,82,66,35.7,36.1,6.4,1.22
Bexley,639,210,223,100,106,32.9,34.9,6.6,1.25
Barking and Dagenham,750,246,289,89,126,32.8,38.5,6.2,1.51
Redbridge,1005,330,375,93,207,32.8,37.3,7.1,1.36
Enfield,938,295,393,101,149,31.4,41.9,7.4,1.37
Newham,2522,766,1001,280,475,30.4,39.7,7.5,1.63
Barnet,2523,751,1087,246,439,29.8,43.1,7.4,1.33
Sutton,477,141,209,47,80,29.6,43.8,7.7,1.31
City of London,549,159,269,44,77,29.0,49.0,7.1,2.01
Croydon,1716,495,681,237,303,28.8,39.7,7.2,1.46
Bromley,913,260,352,116,185,28.5,38.6,8.0,1.27
Hillingdon,998,282,419,132,165,28.3,42.0,6.7,1.66
Greenwich,2098,581,819,261,437,27.7,39.0,7.8,1.48
Harrow,668,185,314,67,102,27.7,47.0,7.0,1.46
Waltham Forest,1954,532,781,231,410,27.2,40.0,9.1,1.23
Merton,1550,422,608,167,353,27.2,39.2,8.8,1.18
Hounslow,1339,361,551,153,274,27.0,41.2,7.7,1.51
Ealing,2385,634,1007,260,484,26.6,42.2,7.9,1.43
Brent,3019,788,1399,274,558,26.1,46.3,8.1,1.57
Haringey,2598,670,1050,256,622,25.8,40.4,9.1,1.49
